Text,depressive,sentiment,emo1,emo2,emo3
and then it hit me that i could not move.,1,2,13,,
didn't get a lawyer so I could take your money and am probably going to get in trouble for texting you.,0,2,14,12,
"i think i feel really good now , yes i do.",1,2,13,1,
Please have me cremated - no funeral,1,1,12,14,2
Please don't be harsh and flippant towards me.,0,2,14,12,
all i know about it is what jonathan says i told him over the phone.,0,2,13,,
"actually, as to move on in life after being part Of such a thing would be the mark Of a sociopath in my mind.",0,2,13,,
"Since my first introduction to the, shall we say, ethics involved with independence and the embracement of your community has proven to be very true.",0,2,13,,
it took a while to get back my coordination.,0,2,13,,
Up helps define down.,0,2,13,,
faculties seem temporarily sharpened.,0,2,13,,
For example when were back stage and the lights go out and the monic roar of the crowd begins.,0,2,13,,
i do not want anyone to be disappointed.,1,2,13,,
i have always tried to be up and helpful.,0,0,4,,
I'm fortunate to eat meals most only imagine.,0,0,5,1,
I found out that I cant do it on my own Megan always getting into trouble with school.,1,1,12,,
With regard to those few who crossed my path carrying the extreme and unnecessary weight of animosity: they seemed by their efforts to be punishing themselves.,1,1,8,12,
"i have tried everything within my power to appreciate it (and i do, god, believe me i do, but it's not enough).",1,2,13,,
"I hope your doing well@i Hope You Have Amazing life you Deserve it , Not A DAY goes by where I dont think about you anD BeN, the GIRl in the news with Me was such a piece of (omit) , she hurt me over anD over, when I was already@my lowest, she was a horrible person.",1,1,8,2,12
"if failure happens, it's something like not going to college or not getting an a in a class or on a test.",1,2,13,,
farewell our dear dear friend and be very happy it is said to be possible on earth.,0,1,11,12,
She always refuses to sign my leaves then goes to HR herself to put fine on me for being on leave.,0,2,13,12,
"Our country slaughters Arabs, abandons New Orleaneans, and ignores the dieing environment.",1,1,12,,
"peace, love, empathy.",1,0,1,,
or that i am an ugly faggot and no other faggot would fuck me.,1,1,12,13,
you have told me not to have rancor against others but the fact is that the director bought jewelry art antiques and paintings from the department store.,0,2,13,,
this is better .,0,2,13,,
I have never seen a fake institution like Index.,0,1,8,12,13
that is all i get around here.,0,2,13,,
when i tried my hardest to make your birthday special.,1,2,13,,
i kiss my dear children and carlotta.,0,0,3,,
he cared.,0,2,13,,
you had great plans which did not include me.,0,1,12,,
You've all been good to me.,0,2,13,,
I asked why I'm living.,1,2,13,,
living in newport beach is like living in a bubble.,0,2,13,,
She always has.,0,2,13,,
Simple things that everyone else takes for granted are nearly impossible for me.,0,1,12,,
"when i first met you i was driven, ambitious and disciplined.",0,2,13,,
Bless you.,0,0,3,,
listen listen listen listen a man appeals to you a man i am staking my life on this do you hear do you follow me if you do not rise with me if the jieitai will not rise the constitution will never be amended you will be just american mercenaries.,0,2,14,,
"I am so sorry I am not apart of your lfie now, I was so sick and out of ways to help myself.",1,1,10,,
"This man serves two masters; he is employed and paid by the Society of the Suppression of Vice, but he secures from the United States Government an appointment as postal inspector without pay; so that he is able, if he wishes, to use his official position for the furtherance of the private ends of his society and, presumably of himself.",0,2,13,,
i dreamt of our success.,0,2,13,,
no more swimming.,0,1,12,,
somewhere a violin plays as i watch my life whirl away.,0,1,12,,
"Not not that I know he is just waiting for me to fall in love with him, but I never will.",0,1,12,,
And that's gone on an on throughout my life.,1,1,12,,
It iS because I love you that I can not do thiS to you.,0,0,3,13,
maybe this will start a chain reaction of awakening love communication.,0,0,3,,
"presence of each other at the same time subscribed our names as witnesses ? William Lewis, 11 Edinburgh Place,",0,2,13,,
All it takes is one doctor who thinks my story is interesting enough to share or a doctor who thinks it's her right or responsibility to contact the authorities and have me identify the molester (justifying her decision by telling herself that someone else might be in danger).,0,0,2,,
we can feel pain.,1,2,13,,
"Which, of course, was no crime at all.",0,2,13,,
"""i do not have any choice in the matter.",1,2,13,,
rebelling i have not studied for about two months.,1,1,12,10,
Your Son NAME.,0,2,13,,
my only sweetheart upon mature consideration and after profound prayers to my god i have decided to take my own life and thus not allow my enemies to execute me.,1,2,13,11,6
thats how unbelievable this has been.,0,1,12,,
I can't take any more.,1,1,12,11,
sunday 4:45 pm.,0,2,13,,
i fired it at a wall and put a bullet in it.,0,2,13,,
I hurt!,0,1,12,,
"You are thinking to yourself that this is completly out of character of the MAN you know who was always positive, encouraging, & wore a smile wherever he was seen.",0,2,13,,
"Enqulry Officer, Harassment Case against Muhammad Afzal, Lecturer in English, Govt M.A.O College Lahore.",0,2,13,,
Live a little everyday.,0,0,2,,
"I'm so sorry for what I have done, It's okay if you two do not love me.",0,1,10,,
i have tried.,0,2,13,,
"The damage that was done to my body still prevents me from using the bathroom normally, but now it's less of a physical impediment than a daily reminder of what was done to me.",1,1,9,12,10
i wish she was dead.,0,1,7,,
"I am leaving, to much stressed out.",1,1,12,13,
i have not seen anybody yet did not die.,1,2,13,,
Just this side of heaven is a place called Rainbow bridge.,0,2,13,,
"i know you loved me, and i love you too, im sorry for doing this to you guys.",0,0,3,10,
I love my baby dearly so we Finna see Each other again,0,0,3,,
if there is a kid out there who is alone it never hurts to sit with them or ask them how they are doing i never liked cdm.,1,2,13,,
my beloved berthe i am like a madman a frightening pain is gripping my brain.,1,0,3,12,
on the psychiatric ward they give you tests for brain damage.,1,2,13,,
just pain all pain.,1,1,12,,
seems to be terrific pressure first.,0,1,9,,
but now i am so isolated that will never happen.,1,1,12,,
"Kind regards,",0,0,3,,
What other words are there.,0,2,13,,
the value of a man was reduced to his immediate identity and nearest possibility.,0,2,13,,
hunnie I loved you so much!,0,0,3,,
At that moment i feel like my entire worlD enDeD.,1,1,11,,
i had everything.,0,2,13,,
some asshole painted faggot on my locker.,0,1,7,,
"If someone in our society is like him please dont marry to a girl to save yourself, you people by doing so not playing only with someone emotions also with a girl and her family's life.",0,2,14,13,
what i want to say is i owe all the happiness of my life to you.,1,0,3,13,
Nothing helped any More any ways.,0,2,13,,
I have a good time when the shock is over.,0,0,2,,
"i hope you will be ""free"" to take anyone any place and i am sure you will not have any trouble as to places -",0,0,2,,
I'm so sorry,0,0,1,3,
and i sure in the hell do not need you to tell me.,1,1,12,,
live and play everyday like it's your last because you never know when you will be done forever.,1,2,14,,
Conservatives take a stand.,0,2,13,,
"But all of this at once, for the umpteenth time in my life -- really, this is happening AGAIN?!?",1,1,12,,
i wish you had loved me like i loved you.,1,2,13,,
i was afraid that they would get down on me but they did not.,1,1,9,,
"Baba, Mama ? I embarrassed you ? I had been a bad child kindly forgive me.",1,1,10,12,
"It is my honest belief that they were signed unread, for on the trial Miss Cookson gave testimony that directly conflicts with her later affidavit, and the District Attorney did not dare to bring any of the witnesses before the Commissioner and submit their statements to cross-examination.",0,1,8,13,
so fucking what.,0,1,7,,
yet my desire to die to disappear is still bound up with her perhaps because she is so magnificently alive that if my being could blend with hers my life would have more meaning than before.,1,2,13,,
i know you do too.,0,0,2,,
i thank you for the favor you have given me just because i am from the same prefecture as you.,0,0,5,,
"please, they love me too much and i need justice after my death.",1,0,3,14,
I got great friends.,0,0,1,,
"""'took all my pills be dead soon so bye bye every one.""",1,1,12,,
"All while letting a different someone else have it...someone else always around the next corner, on the other end of another text message.",1,1,12,,
"i do not want any media really getting into me, trying to just send my love to all the artists who got me through my tough times and sending my respect to a few of the real ones out there.",0,2,14,,
when will sally be back?,0,2,13,,
I AM VERY HAPPY TO HAVE SEEN FOR MYSELF THE SPECIAL PERSON YOU HAVE BECOME.,0,0,1,,
I'm sorry.,0,1,10,,
i have never wanted to my family for sorrow in any way.,1,2,13,,
i am always bitchy.,1,1,12,,
have you ever thought about what you said to me?,1,1,12,8,
so i tell [name removed] because i was so fucking tired of hiding every day.,1,2,13,11,
"As the older child, It was my responsibility to take over the earning matters and run the house, but I can't.",0,1,10,12,
"i, smita rohtagi, [am] compelled to commit suicide because i have been cheated in love and after marriage.",1,2,13,,
i am a better person than any one of them and i fucking know that for sure.,1,1,7,,
"I thought that if I got into to a good college, or a good grad school, or lost weight, or went to the gym nearly every day for a year, or created programs that millions of people used, or spent a summer in PLACE or PLACE or published papers that I was proud of, then maybe I would feel some peace and not be constantly haunted and unhappy.",0,2,13,,
god damn assholes.,0,1,7,,
you got what you wanted.,0,0,2,,
do not be mad.,1,2,14,,
The lower left file have has investments.,0,2,13,,
You guys are the best friends anyone could ever ask for.,0,2,13,,
"please call dr.
horder.",0,2,14,,
i have not felt the excitement of listening to as well as creating music along with reading and writing for too many years now.,0,2,13,,
"i am going out - and i hope it is out - nirvanha, i think the bhudaists (how do you spell bhudaists?)",0,0,2,,
i will knock on the gates of paradise with the skulls of the sons of zion.,0,2,13,,
"i remember thinking, boy this man is a real jerk.",0,2,13,,
mama sisters and comrades forgive me it is not the best way i do not recommend it to others but i have no other exit.,0,0,0,13,
it has made it impossible for me to enjoy the simple pleasures of life.,0,1,8,,
"the loss of us, cynthia marie, the meds, i am ready.",0,1,12,,
feel good about myself -- to be able to look myself in the mirror -- I needed to produce.,0,0,1,,
never forget to treat yourself with kindness.,0,2,14,,
so i have made the only decision i can.,0,2,13,,
but since the age of seven i have become hateful toward all humans in general.,1,2,13,,
Somehow I think he had been kinda lieing to me and using Jesus' name with alterior motives.,0,1,9,,
i loved the ocean.,0,0,3,1,
i have long determined that the best thing i could do was to put an end to the existence of a being whose birth was unfortunate and whose life has only been a series of pains to those persons who have hurt their health in endeavoring to promote her welfare.,1,1,12,,
"i formed a sort of a 'fuck you' attitude towards my parents and came out as gay at school, thinking that maybe if i eased into coming out as trans it would be less of a shock.",0,1,7,13,
i blame myself for her being gone!,1,1,10,12,
"you cannot - sugar coat, kid glove these people.",0,2,14,,
you have always been my soul-mate and i want you to love life and know i am always with you.,0,0,3,13,
Then she stopped.,0,1,8,,
I love you both badly.,0,0,3,,
"One month back he accepted that he is gay or bisexual he don't know, but I know he is gay because he never had erection when he was with me I.",0,2,13,,
it was the intention that i would die in the woods so that it would take a few days before i was possibly found.,0,2,13,,
i want to sleep but it just wo not come.,1,1,12,,
"Obviously, It was beyond our scope, so we all went to ""PLACE HIGH COURT"".",0,2,13,,
"I will miss our discussions of philosophy; well for a few hours I guess, Remember our talk the other day.",0,0,2,13,
love always mommy,0,0,3,,
I've left a note in hope it's easier for people.,0,0,2,13,
"A sacrifice for my people, a sacrifice for the people.",0,2,13,,
Everything is a dream?everything.,1,0,2,,
I donot know who.,1,1,7,,
if youre reading this then i havent deleted it from my queue which means ive succeeded in killing myself.,0,2,13,,
i only got more christians telling me that i was selfish and wrong and that i should look to god for help.,1,1,8,,
I myself am one of these human animals.,1,1,7,13,
"Your brother, Uncle Tony who came to live with us, made me believe that he knew exactly what my soul was longing for ? companionship.",1,0,3,,
"he said, ""that's fine,"" and put me in a locked room with bars on the windows.",0,2,13,,
I am going as everyone will look at me with that eye even if I come clean.,1,1,11,,
"The more harmful the secret, the juicier the gossip and the more likely you are to be betrayed.",0,1,12,,
no more i will drive the car.,0,2,13,,
why am i alone to be picked out i have worked hard in the matter of gift giving to outsiders.,0,1,12,,
NAME was into the absolute impression I needed it for self defense.,0,2,13,,
her grub i cannot eat.,0,2,13,12,
i bought your sister presents.,0,2,13,,
if i had done this a long time ago it would have saved a lot of pain.,1,1,10,,
"Such voluntary death must give us peace, if not happiness.",1,1,12,,
He helped bring me to you and keep me faced toward you when I felt like giving up.,0,2,13,,
I ame very good at faking hapiness.,1,2,13,,
The upcoming elections are not a solution - our two party system is a failure of democracy.,1,1,12,,
my loss of life is meaningless.,1,2,13,12,
"THE MORE YOU TRY TO FORGET ME, THE MORE HAPPY MY SOUL WILL WILL BE.",0,2,14,2,
"she was so close to home, why was she there?",0,2,13,,
Yours sincerely,0,0,3,,
Take care now.,0,2,14,3,
i feel pricks of stinging begin to pinch my eyes as cheeks begin to burn.,1,2,13,,
Officers like Yardley who do this job with laziness and negligence.,0,1,8,13,
Be safe.,0,2,14,,
there is only one answer suicide.,1,1,11,,
but the reichsmarschall of greater germany cannot allow himself to be hanged.,0,2,14,13,
i call on you to quit exciting your children when all they are doing is going to a quiet rest.,1,2,13,,
it merely confirms verbal information i had been given a few days earlier.,0,2,13,,
i will sir and would any man believe i went home with a lighter heart at having found a model for the hair of the kneeling figure in alfred this is as good as anything i remember of wilkie in my early days.,0,2,13,,
"i married the wrong nag-nag-nag and i lost my life.""",0,1,12,13,
napoleon had no such scruples and i fear the glitter of his genius rather dazzled me but had i been encouraged nothing but good would have come from me because when encouraged i paid everybody.,1,1,9,,
"And again, it was me.",0,1,12,,
It's happening again?!?,0,2,13,,
Yesterday I joind the SIT.,0,2,13,,
"I got a few small things done, so the day was productive.",0,2,13,,
Please save this letter and repost it if gets deleted.,0,0,2,14,
to any good christian to whom this may come.,0,2,13,,
"Also, thought this time, I was working - T.V.",0,1,12,,
I knew the risk of this happening and believe taking myself out of the game is the best way to move everyone as quickly as possible past all events.,1,1,11,,
"as i did not consider that i could take responsibility, during the years of struggle, of contracting a marriage, i have now decided, before the closing of my earthly career, to take as my wife that girl who, after many years of faithful friendship, entered, of her own free will, the practically besieged town in order to share her destiny with me.",0,2,13,,
"papa i am now going to heaven, goodbye my family i love you so much.",0,2,13,,
"you are the best, you always have been.",0,0,4,13,
i am a regular customer of your bank and i have taken loan for farming but since last 3 years there has been no rain hence i am totally in loss and debt.,1,2,13,,
A house where the love of music with any sort of a beat was literally beaten out of me.,1,2,13,,
"Our economy is a house of cards, as hollow and fragile as our reputation around the world.",1,1,12,,
I belong to a middle class family & could not afford this much fees.,1,2,13,,
a minister scrawled this note before hanging himself in his church.,0,2,13,,
i have repeatedly said that i am not going to resign as state treasurer.,1,2,13,,
"please understand that when people compare us, i vomit on the inside.",0,2,14,,
It's been a while since no one tied ropes and chains to my body.,0,2,13,,
At this point I am duty bound to be honest.,0,0,2,,
i just like to thank dad jim jones cause he was the only one to stand up for me when i need him.,0,0,5,,
enclosed find a [$150] donation towards the [suicide assistance] hotline.,1,2,13,,
dearest dear unfortunately this is the only way to make good the frightful wrong i have done you and to wipe out my abject humiliation.,0,2,13,,
I begen dating (REMOVED).,0,2,13,,
caylee marie never had a chance to grow.,0,2,13,,
we have the means to afford the best doctors hospitals and aroundtheclock home care to the end of our days but neither of us wants that kind of life.,1,1,8,12,
when saturday at nine.,0,2,13,,
I wish there was a gentle way of saying this.,0,1,11,,
"it is something i have to do and i'd appreciate if you could do that for me, if possible!",1,0,2,,
Hopefully this will help other soldiers.,0,0,2,,
"thank you for being a positive influence on my life, and making it a little better.",1,0,5,,
you never even met my sister.,0,2,13,,
my head is horrible.,1,1,9,,
Dramatically anymore.,0,2,13,,
I have let everyone down and I feel as though I will never change or never improve.,1,1,11,,
My Daughter's Birth month is at.,0,0,3,13,
i adore you.,0,0,3,,
further that rational suicide makes possible a truly ideal closing of ones life span.,1,2,13,,
"A house full of hatred and intolerance, run by two people who were experts at appearing kind and warm when others were around.",1,1,8,,
though living is no newer.,1,2,13,,
i mean i have never done anything wrong.,1,2,13,,
And I know Megan had CPS coming here at the back she wrote alot of stuff down and said that she would be back on the 3rd of Jan to check on the girls and if they werent done for what she wrote down then I could lose the girls.,1,1,12,,
as i can tell by my writing & thinking i am getting very stupid.,1,2,13,10,
i even think i should take her with me.,1,2,13,,
From myself.,0,2,13,,
maybe yet i will find it maybe sweet music.,0,0,2,,
"cynthia marie, you have always deserved more & with me being gone you will.",0,2,13,,
he is big.,0,2,13,,
"to be a froming hamoner which was witnessed by neighbours and my house was broken into twice in the same week, the police took statements from me and that was it, I told them who it was the same person who had told my daughter the if she was not here that he would kill me where he seen me.",0,2,13,,
Here I am my place of death.,1,1,12,,
whoever finds it gets the fucking thing.,0,2,14,12,
we have got plenty money to give me a decent burial.,0,2,13,,
"Above all NAME, I am sorry for letting you down and not continuing the fight.",1,1,10,,
Then minute after minute watch your steps closely.,0,2,13,,
Why am I having hard times.,1,1,12,,
"Which is too bad, because I was still fighting.",0,2,13,12,
the life of this world is just a game and an accumulation of possessions and children.,0,2,13,,
"Among them many who are prominent in the national esteem, such clemenoy spould be denied?",0,1,7,13,
I knew that already and It didn't work.,0,2,13,,
"my mom started taking me to a therapist, but would only take me to christian therapists, (who were all very biased) so i never actually got the therapy i needed to cure me of my depression.",1,2,13,,
hi NAME and NAME).,0,2,13,,
"Then you can say, ""man, I was silly to think that,"" or in my case, ""man, I was depressed.",1,1,12,,
i must end it.,0,2,14,11,
"And now, face to face with the greatest mystery known to man, knowning that no concealment or untruth can initigate my end.",0,2,13,,
This man and another man is responsible for selling the heroin to a (REMOVED) high school yeacher (REMOVED) that took his life.,1,1,8,,
caylee marie i miss her.,0,1,12,13,
i could not make phone calls.,1,2,13,,
do not forget me when i come crying to heaven's door.,1,2,14,,
"I recognize the irony of killing myself to prevent myself from killing someone else, but this decision should indicate what I'm capable of.",1,1,10,,
Both of you - closet case bi-sexuals.,0,2,13,,
i may end my life in such a way that it appears to be death from illness.,1,0,2,12,
without you life is unbearable.,1,0,2,12,13
"Most of the stuff you will hear Is true except the child porn, I WoulD never Do that, Use the pics with me anD (omit) for the funeral, that was the only time In my life where I was truly HAPPY.",0,2,13,1,
i am done with life i am no good i am dead.,1,1,11,12,
That is because I helped many come out of their depression and make a comeback.,0,0,4,1,
I'm at peace now.,1,2,13,,
annette found out.,0,2,14,,
people are just too stupid.,1,1,12,7,
NAME I never wanted anything from you but due to your abnormal sexuality you thought you think I need sex from you its wrong.,0,1,8,12,
"Hence It was established before the Governor's Commissioner by the testimony of Dr. Kinmouth, Dr. Woolman, Miss Jackson, Miss Waddell, and others, that my wife purchased morphine frequently and that that she foolishly used it to quiet neuralgic pain.",0,2,13,,
She just stopped.,0,1,12,8,
i am tired of this life so am going over to see the other side.,1,1,11,,
furniture to george plus 1371 owe him.,0,2,14,,
i sent the duke wordsworth dear freds and marys heads to miss barrett to protect.,0,2,13,,
But I can't alone.,0,2,13,,
Dear Mom & Dad,0,0,3,,
"You don't really know that for a while, until you're older.",0,2,13,,
letter to whosoever finds it dr. paul kammerer begs not to be brought home in order that his family be spared the sight.,0,2,13,,
God is great & he does justice at the end.,0,0,5,2,
Love is anti-entropy.,0,0,3,13,
because of NAME n NAME.,0,1,8,,
They can hurt and ruin anyone for their own purposse.,0,1,8,,
You were the cutest little guy I had ever seen and I know you will do something great with your life.,0,0,2,,
needs a tuneup.,0,2,14,,
have been and still am connected with fraternal and other organizations.,1,2,13,,
to no-one and everyone:,1,2,13,,
Only what you love brings hapiness and that is the ony thing you can excel in and I mean the real excel not the stupid 'excel' that the world think is success more and fame.,0,2,14,13,
To all my friend and family,0,0,3,,
"""no more games.",0,1,12,,
"I am making this statement to the public because I wish to call attention to some of the salient features of Constockism, in the hope that the public may be led to put down this growing menace to the liberties of the people.",0,2,13,,
"and why does fag have to mean anything bad, but i am gay not a fag and just a person like anyone else.",1,1,12,13,
I am sorry I turned out to be such a waste.,1,1,12,,
I often felt detached while in a room full of my favorite people; I also felt absolutely nothing during what should have been the happiest and darkest times in my life.,1,1,11,,
"""in keeping with channel 40's policy of bringing you the latest in 'blood and guts', and in living color, you are going to see another first - attempted suicide.""",0,2,13,,
"Then I heard voice 'Michael, Michael,' so I looked to the hallway (in the basement) and saw an older woman.",0,2,13,,
"And the the way the current system is set up, it protects all cops whether good or bad, right or wrong, instead of punishing bad cops & holding them Accountable for their actions.",0,1,8,7,13
dusty is here.,0,2,13,,
there goes a siren.,0,2,13,,
it is purely the school.,0,2,13,,
afraid somebody will come by now.,1,2,14,9,
"he kept yelling ta me about why did i take the pills, why did not i do this or that.",1,2,13,,
"""i am trying to watch tv but i do not know what i am watching.",0,1,11,,
"I have written a book of between 450 and 500 pages upon ""Marriage"" in which my teachings are set forth more fully.",0,0,2,,
"Madam,",0,2,13,,
I don't have a job probably I wouldn't get one.,0,1,12,2,
"weakened by their remarks',",0,2,13,,
If you are reading this I am no more.,0,2,13,,
i have paid my debts and no longer need to count pains i have suffered at the hands of others the misfortunes and the insults.,1,1,12,,
"Be strong, be honest, always.",0,2,14,2,
"the longer you wait, the harder it is to transition.",1,2,13,14,
Some people are just dealt bad hands in this life.,1,2,13,,
i hope you can truly believe me.,0,0,2,,
Everyone knows that there was no molestation by my father.,0,2,13,,
I can't fear to lose my family and go to jail.,0,1,9,13,
the goa trip was my birthday present but even after you cheated i still spent on you.,1,2,13,,
Sorry I could not face everything any more.,1,1,7,,
i wanted to scare these people.,1,2,13,,
i need justice then only my sole [soul] will rest in peace.,1,2,14,13,
i do not.,0,1,12,,
"I wrote the above awhile ago, and I do feel like that much of the time.",0,2,13,,
jose' keeps calling.,0,2,14,,
please tell the children that i loved them always and that my love has never faltered.,0,2,14,3,
My one and only brother came very close to understanding what I was passing through but it was too much for his young mind to comprehend.,0,2,13,,
i was at a neighbor's house and fired a gun at my head.,0,2,13,,
at present i dislike everything including myself.,1,0,2,12,
"I am sorry sorry lori, to have you lose 2 dads this way.I love you and your mom.",1,1,12,3,
He is related to NAME because of certain recent developments & very close to the lady & her husband.,0,2,13,,
i hope that someone finds this post and i hope that my parents know that i fucked up not them.,0,0,2,,
"As for place, it had to be my own house, whatever inconvenience to my surviving family.",1,1,12,,
you have truly done something special at cdm.,1,0,4,,
A random example:,0,2,13,,
this is what i am talking about now is the dispensation of judgment.,0,2,13,,
I feel I have tried everything and just can't see anything but a depressed future.,1,1,11,,
The tooter that you put on the ignition switch.,0,2,13,,
"be nice to everyone, and most importantly be inclusive.",0,2,14,,
he is given full legal authority to make all decisions.,0,2,13,,
"One day at a time, I was pushing through.",0,2,13,,
Maybe some will be scared enough to wake from their walking dream state - am I therefore a martyr or terrorist?,1,1,8,2,
you will come to see that it iS a far better thing as one day after another passes during which yau do not have to about me or even give me a second thought.,0,2,13,,
This despite any/all every foolish & immature utterance I have demonstrated over the years.,0,2,13,,
If tomorrow history is written then it would also be said that if NAME had a son like NAME who stabbed him in the leach them.,0,0,2,,
"Lord, should I feel guilty about being relieved I've sent Jeff out of my life?",1,2,13,,
In the case of my death the whole blame will be unremittingly upon NAME and NAME,0,1,8,,
"I love you both, but I can't live with the pains and the guilt and the loss of everything.",1,0,3,10,12
please do ensure to take off the debt when i am no longer there.,1,2,14,,
do not shed tears for me.,1,2,14,,
"Also NAME & NAME were hand in glove will become clear from the facts of recorded conversation of a meeting with my father at a hotel in Amritsar, the recording is there with Jalandhar police.",0,2,13,,
And now I feel relieved and more relaxed.,0,0,5,,
i took the heat new year's 1989 because that's what i was supposed to do.,0,2,13,,
when it did not happen they said it was the miracle of the floor.,0,2,13,,
god seems to be over me just leaving for a lovely voyage but it is slow first time without worry.,0,2,13,,
"I have put some extra tools for you, in the toolbox, and the pieces for finishing the shade are inside the shade itself.",0,2,13,,
"Just Saying""",0,2,13,,
i treated people the way i wanted to be treated.,1,2,13,,
this will solve all our problems.,0,0,2,13,
Love nita,0,0,3,,
We PG students are being tortured.,1,2,13,12,
"the fact is, i cannot fool you, any one of you.",0,2,13,,
"I don't know if my depression caused the outcome, or if the outcome built on the depression, but the result is the same.",1,1,12,,
I want Lillies lots and all different colors.,0,1,11,13,
I AM sorry for the hurt -,1,1,10,,
God does not smite anybody.,0,2,13,,
Wherever I look? they have come for me and I must go.,0,2,13,,
act your (old) age.,1,2,14,,
"This little book, ""The Wedding Night,"" and its companion pamphlet, ""Right Marital Living,"" have been circulated with approval among Social Purity women, members of the W.C.T.U., clergymen and reputable physicians; various physicians have ordered these books from me for their patients, or have sent their patients to me to procure them or to receive even fuller instruction orally; respectable married women have purchased them from me for their daughters, husbands for their wives, wives for husbands, young women for their betrothed lovers.",0,2,13,,
"As I said not long since in the Boston Traveler, if the reading of impure books and the gazing upon impure pictures does debauch and corrupt and pervert the mind (and we know that it does), when we reflect that NAME has himself read perhaps more obscene books, and has gazed upon perhaps more lewd pictures than has any other one man in the United States, what are we to think of the probable state of Mr. NAME's imagination today upon sexual matters?",0,2,13,,
I'm the victim and get blamed for it all.,1,1,8,,
courteous reader to whom this melancholy affair may be made known be not too censorious before you have thoroughly surveyed the cause of my misfortune therefore look on my condition with compassion and not ridicule and believe me to be of honest parents who bestowed on me some education whereby i have carried a fair character and i bless my god honest to all men but of a sudden deprived of thought and reason am become odious to myself and of course despicable to my friends and acquaintance and as such am unworthy of any longer being upon earth yet through the merits of my blessed saviour i hope for salvation and when this unworthy body is laid waste my soul may still remain among the blessed for to the utmost of my knowledge i have wronged no body.,0,2,13,11,
i have always let each of you down in more ways than i can remember.,0,1,10,,
A few more letter and it'll look like an alphabet chart.,0,2,13,,
Bambas too.,0,2,13,,
i wanted to help her in so many ways.,0,2,13,,
most of the time i stayed by myself.,0,2,13,,
I could not concentrate well.,1,2,14,,
And that's the case here.,0,2,13,,
I used to think of my failure as some mystical way of telling me that I was really meant for something meaningful.,0,2,13,,
God blesses him and the others who helped make September 11th happen.,0,0,1,,
You also know that I am working on correcting my trespasses.,0,2,13,,
"From my point of view, I am opening a new door.",0,0,2,13,
i have it good very good and i am grateful.,0,0,5,,
to end is to start;,0,2,13,,
I hope that someone finds this post and I hope that my parents know that I f@#$ed up not them.,1,0,2,8,10
i love you - cynthia marie,0,0,3,,
"To NAME,",0,2,13,,
Please try to remember me as a whole human you shared memories with and not just my final act.,0,1,11,,
Thank you for being there when I needed you.,0,0,5,13,
i feel we cannot go through another of those terrible times.,1,2,13,,
"now, he has denied the same and he is going to marry for the second time on 27.11.2005.",0,2,13,,
"we have become worse than the imagined enemy - killing civilians and calling it 'collateral damage', torturing and trampling human rights inside and outside our own borders, violating our own Constitution whenever it seems convenient, lying and stealing right and left, more concerned with sports on television and ring-tones on cell-phones than the future of the world.... half the population is taking medication because they cannot face the daily stress of living in the richest nation in the world.",1,1,8,12,
(REMOVED): i love you.,0,0,3,,
No you got it all wrong; you're misunderstanding - this is the way it is!,0,2,13,,
I crave peace of mind and heart so much.,1,1,12,,
"i was a ""toll"" while you needed me or thought you did.",1,2,13,,
You actually have the power to stop this from happening.,0,0,2,13,
"Honestly, I do.",0,2,13,,
I truely started.,0,2,13,5,
i may need her desperately.,1,2,13,,
He would surround me and penetrate me and the more we did the more intense it became.,0,0,3,1,
"They are putting her in the room next to mine, and tying her up.",0,2,13,,
With all of the meditations the doctors dare give.,1,1,12,,
get the rest from the state publishing house.,0,2,14,,
"She's become a religious addict, certain that the Rapture is coming any day now.",0,1,8,13,
i feel i have lived long enough.,1,2,13,,
I'll make a good specimen cadaver to the future doctors of India.,0,0,2,13,
woman i am glad that youre my brothers and sisters.,0,0,4,1,
the future is just old age and illness and pain.,1,1,11,,
with aids as you know it is fairly downhil lwithout much any hope for a reversal.,0,1,11,13,
"He has not, however, produced any young person thus far who has been injured through their perusal; nor has any parent or guardian come forward who claims even the likelihood of any young persons being injured by either of these books; nor has he even vouchsafed the addresses of any of the people from whom he states he has received complaints.",0,2,13,,
PLEASE EMBRACE THIS & NEVER QUESTION THAT I LOVED MY LITTLE SISTER.,0,0,2,14,3
"The sexual abuse I endured from Gerald Young in Mountain View Oklahoma, all the migraines an sleep deprivation he tortured me with.",1,1,8,6,
"Dear fellow-citizens of America, for nine long years I have faced social ostracism, poverty, and the dangers of persecution by NAME for your sakes.",1,1,8,7,
I love you all and will forever live within the memories we created.,0,0,3,14,
I love you.,0,0,3,,
I love you.,0,0,3,,
It's now my duty to warn you all and to make you aware of what happened.,0,2,13,,
But I will face exactly the same problems with the darkness with anyone else.,1,2,13,,
i know what i am and know what i am not.,0,2,13,,
"I have depression, so I want to die.",1,1,11,12,
i would always have accepted death by firing squad.,1,2,13,,
Any walking on my part brings bad shortness of breath.,1,1,9,12,
the room is going around and around.,0,2,13,,
now i cannot stop crying i am so fucked up my head is so fucked up mom and dad i am sorry.,0,1,10,,
The staff pulled her quickly and said they would tie her up.,0,2,13,14,
in his charity god thus spared me the bitter end.,0,1,12,,
[sentence deleted] Ive had a pretty good life and I [deleted] I've had two good partners and good friends.,0,0,1,4,
ner urban credit cooperative bank sanchalak mandal and main branch manager.,0,2,13,,
